num_points,pi,time
123000,3.134244,0.003473
123500,3.137004,0.004846
124000,3.145774,0.003933
124500,3.134522,0.003550
125000,3.144480,0.003594
125500,3.141610,0.003372
126000,3.147143,0.003368
126500,3.135146,0.003440
127000,3.145134,0.003428
127500,3.142996,0.003384
128000,3.142750,0.003238
128500,3.140296,0.003226
129000,3.145581,0.003519
129500,3.143135,0.003377
130000,3.139292,0.003281
130500,3.142284,0.003285
131000,3.146168,0.003285
131500,3.143757,0.003309
132000,3.142364,0.003314
132500,3.140226,0.003340
133000,3.147398,0.003393
133500,3.140884,0.003364
134000,3.139672,0.003362
134500,3.145546,0.003378
135000,3.139556,0.003635
135500,3.137594,0.003503
136000,3.143118,0.003487
136500,3.145172,0.003425
137000,3.131153,0.003448
137500,3.144291,0.003740
138000,3.143942,0.003483
138500,3.146484,0.003613
139000,3.138245,0.003573
139500,3.140158,0.003532
140000,3.135457,0.003527
140500,3.141409,0.003734
141000,3.149021,0.003646
141500,3.146403,0.003679
142000,3.139211,0.003713
142500,3.142232,0.003593
143000,3.141566,0.003594
143500,3.142718,0.003608
144000,3.141389,0.003618
144500,3.139958,0.003723
145000,3.142897,0.003640
145500,3.148948,0.003648
146000,3.136466,0.003897
146500,3.143727,0.003732
147000,3.137497,0.003713
147500,3.141532,0.003702
148000,3.145838,0.003725
148500,3.147125,0.003742
149000,3.139007,0.003752
149500,3.137953,0.003797
150000,3.145253,0.003772
150500,3.133953,0.003771
151000,3.136742,0.003788
151500,3.147987,0.004058
152000,3.144789,0.003827
152500,3.143056,0.003861
153000,3.141490,0.003855
153500,3.139544,0.003853
154000,3.141584,0.003859
154500,3.136518,0.003871
155000,3.145600,0.003984
155500,3.141068,0.003927
156000,3.143923,0.003910
156500,3.139348,0.004218
157000,3.152611,0.004005
157500,3.142654,0.003982
158000,3.138987,0.003961
158500,3.144025,0.003971
159000,3.137862,0.003996
159500,3.139436,0.004023
160000,3.137225,0.004070
160500,3.143875,0.004028
161000,3.140149,0.004042
161500,3.145635,0.004286
162000,3.139926,0.004064
162500,3.138068,0.004092
163000,3.145153,0.004083
163500,3.139034,0.004096
164000,3.144488,0.004116
164500,3.145143,0.004143
165000,3.132848,0.004219
165500,3.145426,0.004191
166000,3.138096,0.004163
166500,3.149093,0.004555
167000,3.142491,0.004349
167500,3.145600,0.004305
168000,3.146667,0.004235
168500,3.140368,0.004280
169000,3.142675,0.004249
169500,3.138195,0.004313
170000,3.138094,0.004272
170500,3.151226,0.004287
171000,3.147111,0.004623
171500,3.132035,0.004351
172000,3.138977,0.004332
172500,3.141078,0.004326
173000,3.145780,0.004348
173500,3.140957,0.004348
174000,3.135724,0.004426
174500,3.138201,0.004441
175000,3.142011,0.004424
175500,3.141789,0.004758
176000,3.145659,0.004423
176500,3.142436,0.004468
177000,3.141718,0.004457
177500,3.145487,0.004453
178000,3.140944,0.004465
178500,3.147854,0.004559
179000,3.145385,0.004717
179500,3.138897,0.004580
180000,3.141400,0.004846
180500,3.145152,0.004593
181000,3.141127,0.004602
181500,3.144661,0.004678
182000,3.140549,0.004580
182500,3.137929,0.004612
183000,3.144503,0.004640
183500,3.138834,0.004617
184000,3.142957,0.004993
184500,3.140770,0.004686
185000,3.142897,0.004656
185500,3.144625,0.004651
186000,3.140258,0.004670
186500,3.144343,0.004685
187000,3.147722,0.004761
187500,3.137067,0.004727
188000,3.140851,0.004715
188500,3.141560,0.005060
189000,3.140698,0.004932
189500,3.142100,0.004817
190000,3.136274,0.004783
190500,3.141816,0.004804
191000,3.143162,0.004849
191500,3.137316,0.004834
192000,3.137708,0.004820
192500,3.145704,0.005089
193000,3.139668,0.004872
193500,3.139390,0.004873
194000,3.139691,0.004875
194500,3.133841,0.004894
195000,3.154113,0.004910
195500,3.139130,0.004945
196000,3.143592,0.004924
196500,3.144285,0.005206
197000,3.138477,0.005016
