num_points,pi,time
107500,3.139460,0.000938
108000,3.142630,0.000889
108500,3.147576,0.000679
109000,3.128330,0.000826
109500,3.143781,0.000772
110000,3.148764,0.001016
110500,3.138100,0.000889
111000,3.137730,0.000811
111500,3.146511,0.000992
112000,3.137571,0.000758
112500,3.142791,0.000974
113000,3.139327,0.000814
113500,3.126872,0.000830
114000,3.150667,0.000746
114500,3.140192,0.000746
115000,3.148383,0.000845
115500,3.145455,0.000751
116000,3.136207,0.000822
116500,3.148567,0.000767
117000,3.141162,0.000834
117500,3.151796,0.000807
118000,3.148542,0.000855
118500,3.144068,0.000824
119000,3.144639,0.000843
119500,3.138812,0.000776
120000,3.139933,0.000759
120500,3.141510,0.000914
121000,3.145818,0.000921
121500,3.148675,0.000823
122000,3.138787,0.001689
122500,3.142367,0.001862
123000,3.142699,0.001147
123500,3.141798,0.001455
124000,3.140903,0.001409
124500,3.137799,0.001457
125000,3.132928,0.001836
125500,3.136064,0.001384
126000,3.144349,0.001197
126500,3.139889,0.001127
127000,3.138835,0.001098
127500,3.143592,0.001170
128000,3.138219,0.001107
128500,3.138117,0.001224
129000,3.141364,0.001107
129500,3.140911,0.000932
130000,3.141846,0.001078
130500,3.142621,0.001223
131000,3.139786,0.000863
131500,3.143757,0.000984
132000,3.139182,0.001011
132500,3.144815,0.000976
133000,3.137925,0.000913
133500,3.154067,0.000876
134000,3.140597,0.000937
134500,3.151435,0.000906
135000,3.146222,0.000859
135500,3.140399,0.000769
136000,3.139412,0.000950
136500,3.141187,0.000918
137000,3.139182,0.000920
137500,3.135185,0.000882
138000,3.139710,0.001006
138500,3.143971,0.001048
139000,3.143108,0.000849
139500,3.138409,0.000899
140000,3.151057,0.000885
140500,3.137794,0.000862
141000,3.137106,0.001086
141500,3.143067,0.001038
142000,3.146592,0.000938
142500,3.139481,0.000876
143000,3.138797,0.000816
143500,3.141436,0.000900
144000,3.143222,0.000867
144500,3.142865,0.001016
145000,3.141159,0.000903
145500,3.137622,0.000840
146000,3.140712,0.000914
146500,3.148833,0.000942
147000,3.137823,0.000914
147500,3.138359,0.000950
148000,3.137000,0.000956
148500,3.144700,0.000913
149000,3.141235,0.001012
149500,3.143492,0.000984
150000,3.144187,0.000976
150500,3.149076,0.000850
151000,3.142437,0.001013
151500,3.148013,0.000931
152000,3.141895,0.001063
152500,3.139987,0.001071
153000,3.141098,0.000924
153500,3.137928,0.000919
154000,3.146208,0.000897
154500,3.143430,0.001009
155000,3.137290,0.001000
155500,3.131087,0.001001
156000,3.143487,0.001029
156500,3.144665,0.001013
157000,3.140153,0.000960
157500,3.143416,0.001008
158000,3.141114,0.000961
158500,3.140972,0.001057
159000,3.140302,0.001078
159500,3.139737,0.001026
160000,3.143450,0.000957
160500,3.143003,0.001436
161000,3.140124,0.001274
161500,3.145164,0.001172
162000,3.134469,0.001054
162500,3.144049,0.001162
163000,3.136638,0.001168
163500,3.147670,0.001015
164000,3.139341,0.000983
164500,3.144900,0.001037
165000,3.142424,0.000932
165500,3.142332,0.001127
166000,3.143133,0.001004
166500,3.140108,0.001036
167000,3.146036,0.001052
167500,3.137767,0.001097
168000,3.137190,0.001132
168500,3.136332,0.001207
169000,3.144639,0.000945
169500,3.139540,0.001115
170000,3.135718,0.001060
170500,3.133490,0.001033
171000,3.141474,0.001021
171500,3.138122,0.001070
172000,3.144023,0.001183
172500,3.136464,0.001143
173000,3.143306,0.001088
173500,3.140841,0.001199
174000,3.141149,0.001149
174500,3.139461,0.001129
175000,3.146194,0.001066
175500,3.138462,0.001175
176000,3.151500,0.000963
176500,3.143025,0.001157
177000,3.137876,0.001117
177500,3.136586,0.001166
178000,3.135888,0.001119
178500,3.137681,0.001066
179000,3.140559,0.001033
179500,3.142150,0.001227
180000,3.140133,0.001099
180500,3.144222,0.001094
181000,3.138431,0.001041
181500,3.138336,0.001076
182000,3.142242,0.001153
182500,3.136110,0.000974
183000,3.141749,0.000989
183500,3.137308,0.001214
184000,3.146652,0.001186
184500,3.144108,0.001124
185000,3.139805,0.001100
185500,3.143461,0.001110
186000,3.142667,0.001125
186500,3.139432,0.001150
187000,3.147422,0.001137
187500,3.140288,0.001072
188000,3.140681,0.001170
188500,3.144764,0.001220
189000,3.146116,0.000997
189500,3.149256,0.001200
190000,3.138253,0.001098
190500,3.143979,0.001096
191000,3.143581,0.001140
191500,3.138339,0.001180
192000,3.143854,0.001165
192500,3.143668,0.001164
193000,3.138881,0.001169
193500,3.142470,0.001200
194000,3.132289,0.001208
194500,3.139722,0.001269
195000,3.143159,0.001338
195500,3.146476,0.001194
196000,3.147714,0.001258
196500,3.144794,0.001140
197000,3.139797,0.001331
197500,3.143453,0.001135
198000,3.141212,0.001245
198500,3.145874,0.001144
199000,3.140764,0.001158
199500,3.144201,0.001230
200000,3.141900,0.001194
200500,3.135142,0.001239
201000,3.137393,0.001195
201500,3.138104,0.001283
202000,3.150653,0.001141
202500,3.135151,0.001267
203000,3.139823,0.001243
203500,3.138044,0.001169
204000,3.136941,0.001300
204500,3.141242,0.001615
205000,3.142907,0.001296
205500,3.139036,0.001266
206000,3.143204,0.001294
206500,3.148901,0.001345
207000,3.142937,0.001213
207500,3.137966,0.001117
208000,3.139404,0.001261
208500,3.139837,0.001274
209000,3.143541,0.001300
209500,3.143045,0.001376
210000,3.142495,0.001152
210500,3.144171,0.001274
211000,3.146389,0.001313
211500,3.146648,0.001348
212000,3.137208,0.001205
212500,3.139125,0.001339
213000,3.141671,0.001513
213500,3.138567,0.001309
214000,3.146972,0.001122
214500,3.140214,0.001481
215000,3.141786,0.001287
215500,3.141142,0.001212
216000,3.138315,0.001378
216500,3.144499,0.001191
217000,3.138562,0.001214
217500,3.144497,0.001416
218000,3.138826,0.001463
218500,3.139314,0.001273
219000,3.143233,0.001214
219500,3.144601,0.001294
220000,3.144982,0.001348
220500,3.141732,0.001305
221000,3.140163,0.001402
221500,3.144777,0.001424
222000,3.141802,0.001285
222500,3.139038,0.001287
223000,3.146404,0.001268
223500,3.139597,0.001524
224000,3.143107,0.001238
224500,3.141007,0.001461
225000,3.139396,0.001283
225500,3.147406,0.001323
226000,3.144460,0.001471
